precision,recall,f1,hashcode
0.890887022,0.892599404,0.891742408,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.88461113,0.864753127,0.874569416,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.940492332,0.923584521,0.931961715,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.97227484,0.965705037,0.968978763,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.909463048,0.889263153,0.899249673,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.912320614,0.920394063,0.916339576,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.880658805,0.92640233,0.902951539,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.905982435,0.921206892,0.913531244,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.906761527,0.920300245,0.913480759,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.922482312,0.944406629,0.933315694,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.931076825,0.930065811,0.930571079,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.866529703,0.865193546,0.865861118,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.871825218,0.866616786,0.869213223,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.911855936,0.904274702,0.908049524,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.870570302,0.866872489,0.868717492,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.91004473,0.895243943,0.902583659,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.871521354,0.865885377,0.868694246,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.874051392,0.867523313,0.870775104,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.921549618,0.917047858,0.919293225,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.929406524,0.917633712,0.923482656,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.941013753,0.920181155,0.930480897,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.930342972,0.916136384,0.923184991,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.94927758,0.930733085,0.939913929,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.930036664,0.926175535,0.928102076,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.921257138,0.911396205,0.916300178,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.879890084,0.874965191,0.877420723,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.909815907,0.915550888,0.912674427,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.883112848,0.896822214,0.889914691,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.858150184,0.84601748,0.852040708,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.866352379,0.851061821,0.858639061,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.860530317,0.843422055,0.851890326,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.88078934,0.87322998,0.876993418,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.866805792,0.858757734,0.862762988,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.880223036,0.868898988,0.874524355,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.880236387,0.868123233,0.874137819,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.882125914,0.871904492,0.876985431,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.908608794,0.879289687,0.893708825,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.860475004,0.868695319,0.864565611,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.880506992,0.883915544,0.88220793,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.92061466,0.905032218,0.91275692,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.868105769,0.867901742,0.868003726,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.88059926,0.885255158,0.8829211,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.857865095,0.86977011,0.863776624,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.881439924,0.885047853,0.883240163,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.896880388,0.893412054,0.895142853,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
