precision,recall,f1,hashcode
0.872113109,0.843214154,0.857420206,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.90257144,0.864944935,0.883357704,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.88181448,0.844963193,0.862995625,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.855312467,0.868961096,0.862082779,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.879356563,0.848777533,0.863796413,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.865549684,0.860839725,0.863188267,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.864618003,0.851101995,0.857806802,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.864618003,0.851101995,0.857806802,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.902441978,0.851466775,0.87621361,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.856375277,0.841816723,0.849033594,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.853318453,0.8795228,0.866222501,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.865632892,0.881870806,0.87367636,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.834694922,0.89914465,0.865721941,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.870334446,0.896581948,0.88326323,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.878831625,0.896875322,0.887761772,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.868406713,0.893275976,0.880665779,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.879422009,0.900044918,0.889613986,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.837121844,0.888858438,0.862214744,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.867490292,0.891852975,0.879502952,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.871139765,0.879140675,0.875122011,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.895383537,0.902228296,0.898792863,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.870919585,0.888990164,0.87986213,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.865663052,0.882538259,0.874019146,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
